id,name,url,comment,muscle_group
54,Сгибание запястья с гантелями стоя,https://drive.google.com/file/d/1ZuWGJTsS1NIVc-mXSHvnpZMahqygdn7l/view?usp=sharing,Оборудование: Гантели | Статус: 📹,3
55,Молот на луч,https://drive.google.com/file/d/1wQE6O6vUjVJo8O-LBAzWBwIqBNKiRW0c/view?usp=sharing,Оборудование: Молот | Статус: 📹,3
56,Разгибание запястья в блоке с согнутой в локте рукой,https://drive.google.com/file/d/1AMDCTOxoEkGDy-AVOJQDGC97vcd3WnmU/view?usp=sharing,Оборудование: Кроссовер | Статус: 📹,3
57,Подъем одной гантели  из-за головы,https://cloud.mail.ru/public/rAVU/cVKL1VKxX,Оборудование: Гантели,4
58,Подъем гантели из-за  головы сидя,https://cloud.mail.ru/public/7g2L/fuWp66kzy,Оборудование: Гантели,4
59,Обратные отжимаяния от скамьи с постановкой ног на полу,https://cloud.mail.ru/public/Kdjq/qk6trELbL,Оборудование: С/в,4
60,Обратные отжимаяния от скамьи с постановкой ног на  скамью,https://cloud.mail.ru/public/hRFa/5TuYq7EZS,Оборудование: С/в,4
61,Разгибание рук в кроссовере с верхнего блока V- рукоять,https://cloud.mail.ru/public/taeD/bnaHABTJS,Оборудование: Кроссовер,4
62,"Разгибание рук в кроссовере с верхнего блока прямая рукоять ",https://cloud.mail.ru/public/fuzd/iv8go3gZn,Оборудование: Кроссовер,4
63,Разгибание рук в кроссовере с упором V-образная рукоять,https://cloud.mail.ru/public/CmRr/pbBB1A9jd,Оборудование: Кроссовер,4
64,Разгибание руки в кроссовере из-за головы с нижнего блока,https://cloud.mail.ru/public/utnV/kepLoPy5a,Оборудование: Кроссовер,4
65,Разгибание рук в кроссовере с верхнего блока из-за головы стоя (франц.жим),https://cloud.mail.ru/public/kPxR/wQtUYLGVi,Оборудование: Кроссовер,4
66,Разгибание рук в кроссовере с нижнего блока из-за головы стоя канатная рукоять,https://cloud.mail.ru/public/KdoZ/Ra3g6oixK,Оборудование: Кроссовер,4
67,Разгибание руки в кроссовере в наклоне,https://cloud.mail.ru/public/9JYu/Mx1UdWhHQ,Оборудование: Кроссовер,4
68,Жим штанги узким хватом,https://cloud.mail.ru/public/iRyR/BHdC3SjAC,Оборудование: Штанга,4
69,Жим штанги узким хватом(верхняя часть амплитуды),https://cloud.mail.ru/public/HJ7P/ZuTYvP5JT,Оборудование: Штанга,4
70,Жим Трейта,https://cloud.mail.ru/public/FuUb/1bEEezZU3,Оборудование: Гантели,4
71,[object Object],https://cloud.mail.ru/public/VLEe/Hg5qaFaX8,Оборудование: Эспандер,4
72,Французский жим штанги EZ- гриф на накл. скамье 30/45 градусов,https://cloud.mail.ru/public/Dyzd/UAr4ML5W7,Оборудование: Штанга EZ,4
73,Жим в Смитта узким хватом,https://cloud.mail.ru/public/mSGG/aGnn8jny9,Оборудование: Тр. Смита,4
74,Французский жим гантелей на горизонтальной скамье,https://cloud.mail.ru/public/qcwk/hbjJ5xBG7,Оборудование: Гантели,4
75,Разгибание рук в кроссовере с верхнего блока канатная рукоять,https://cloud.mail.ru/public/pc1u/M5RyqTFB5,Оборудование: Кроссовер,4
76,Жим верхнего болока в кроссовере,https://cloud.mail.ru/public/pBVX/GWWEKxuDa,Оборудование: Кроссовер,4
77,[object Object],https://cloud.mail.ru/public/CeRF/XXyFDdUjQ,Оборудование: Эспандер,4
78,Разгибание руки в кроссовере с верхнего блока нейтральный хват,https://cloud.mail.ru/public/nXMA/f6EoxXvp6,Оборудование: Кроссовер,4
79,"Отжимаяния от упор  """"кузнечик"""" ",https://cloud.mail.ru/public/UV2R/nGjFC8oje,Оборудование: Упоры для отжиманий,4
80,Отжимаянияот брусьев /В гравитроне,https://cloud.mail.ru/public/4z9U/FWjG5nLwJ,Оборудование: Брусья/гравитрон,4
81,Французский жим штанги EZ- гриф лёжа,https://cloud.mail.ru/public/iTCY/hqGkvA1fm,Оборудование: Штанга EZ,4
82,Разгибание руки с гантелью в наклоне,https://cloud.mail.ru/public/Vcbf/vvxztPZPb,Оборудование: Гантели,4
83,Разгибание рук в кроссовере на наклонной скамье,https://cloud.mail.ru/public/2NsU/JZ7RB5qjN,Оборудование: Кроссовер,4
84,Разгибание руки в наклоне с эспандером,https://cloud.mail.ru/public/skaN/TmfRfXWDR,Оборудование: Эспандер,4
85,Трицепсовые экстензии стоя,https://cloud.mail.ru/public/1Yke/JFvewzDRA,Оборудование: С/в,4
86,Французский жим от перекладины,https://cloud.mail.ru/public/r1h1/mqVdqmmiS,Оборудование: С/в,4
87,Жим узким хватом в Смитта с кубика,https://cloud.mail.ru/public/7Fmw/k3fz1ps4z,Оборудование: Тр. Смита,4
88,Аналог французскаго жима в TRX,https://cloud.mail.ru/public/MKNe/NkJXzU6fW,Оборудование: TRX,4
89,Разгибание рук в кроссовере с упором канатная рукоять,https://cloud.mail.ru/public/pHSW/Hy9ZU17BD,Оборудование: Кроссовер,4
90,"Отжимаяния от пола """"кузнечик""""",https://cloud.mail.ru/public/X3Ko/82XNrFTna,Оборудование: С/в,4
91,Жим гантелей узким хватом,https://cloud.mail.ru/public/oZCh/43RWKT7DB,Оборудование: Гантели,4
92,Французский жим штанги  EZ- гриф сидя,https://cloud.mail.ru/public/tQGu/sdDricJeX,Оборудование: Штанга EZ,4
93,"Отжимаяния от пола постановка рук вместе ",https://cloud.mail.ru/public/REyA/dDfyDePWU,Оборудование: С/в,4
94,Французский жим в  TRX с коленей,https://cloud.mail.ru/public/8T7Z/Eo8mqEXGu,Оборудование: TRX,4
95,Разгибание рук с гантелями лежа,https://cloud.mail.ru/public/4Pqc/oRc7fUTMj,Оборудование: Гантели,4
96,Разгибание рук с гантелями сидя в наклоне,https://cloud.mail.ru/public/6MMj/1tAU7Db7F,Оборудование: Гантели,4
97,Французский жим гантелей на наклонной скамье,https://cloud.mail.ru/public/EDcU/aTeKwsqNt,Оборудование: Гантели,4
98,Жим гантелей сидя (полная амплитуда),https://cloud.mail.ru/public/XSjo/vp6FtA9Y4,Оборудование: Гантели | Статус: 📹,4
99,Жим в тренажере на дельты одной рукой,https://cloud.mail.ru/public/pywt/2jFxFDgFp,Оборудование: Хаммер на дельты | Статус: 📹,4
100,"Жим в тренажере на дельты с эспандером ",https://cloud.mail.ru/public/VpQ1/kJV6HPRWQ,"Оборудование: Хаммер на дельты, эспандер | Статус: 📹",4
101,Жим в Смитта сидя,https://cloud.mail.ru/public/sa7u/xDJAoe71o,Оборудование: Тр. Смита | Статус: 📹,4
102,Отведение рук с гантелями сидя,https://cloud.mail.ru/public/e8xd/4Zw4F5vXM,Оборудование: Гантели,4
103,Отведение рук с гантелями  стоя,https://cloud.mail.ru/public/TNsg/XkAmqedGh,Оборудование: Гантели,4
104,"Отведение руки с гантелью держась за опору ",https://cloud.mail.ru/public/t4B6/fn5XwtWsf,Оборудование: Гантели,4
105,Отведение рук  в TRX,https://cloud.mail.ru/public/cH1U/uQckr3xEL,Оборудование: TRX,4
106,Отведение руки с гантелью на наклонной скамье,https://cloud.mail.ru/public/t2xq/P21htFjdJ,Оборудование: Гантели,4
107,Тяга штанги на дельты,https://cloud.mail.ru/public/a5yM/oZKFFs2cu,Оборудование: Штанга,4
108,Тяга на дельты в Смита широким хватом,https://cloud.mail.ru/public/Pm6s/XnmFBPWME,Оборудование: Тр. Смита,4
109,[object Object],https://cloud.mail.ru/public/GfVm/Hb4oNbu8c,Оборудование: Кроссовер,4
110,Жим в тренажере на дельты,https://cloud.mail.ru/public/LoAX/G6Z2frpUv,Оборудование: Хаммер на дельты | Статус: 📹,4
111,Тяга на дельты в кроссовере широким хватом,https://cloud.mail.ru/public/mpny/9qiVcGufX,Оборудование: Кроссовер,4
112,Жим штанги стоя,https://cloud.mail.ru/public/oPZi/Z51UU9eRK,Оборудование: Штанга,4
113,Отведение рук стоя с эспандером,https://cloud.mail.ru/public/k5bw/vDRm9k3zL,Оборудование: Гантели,4
114,"Отведение руки в кроссовере  держась  за опору ",https://cloud.mail.ru/public/3sAj/2RZPqqyWr,Оборудование: Кроссовер,4
115,Жим гантелей сидя (укороченная амплитуда),https://cloud.mail.ru/public/VF3v/kFWddcxz3,Оборудование: Гантели,4
116,Жим Арнольда,https://cloud.mail.ru/public/R7SV/sLNBtWhJv,Оборудование: Гантели,4
117,Жим штанги сидя,https://cloud.mail.ru/public/yLSC/3u7YnM5Sw,Оборудование: Штанга | Статус: 📹,4
118,Тяга канатной рукояти с верхнего блока,https://cloud.mail.ru/public/hQCu/f4UvjekhY,Оборудование: Кроссовер,4
119,"Отведение рук  на заднюю дельту в тренажере """"Бабочка""""",https://cloud.mail.ru/public/G9Ke/U4NP579Fz,Оборудование: Тр. Бабочка,4
120,"Отведение одной руки на заднюю дельту в тренажере """"Бабочка""""",https://cloud.mail.ru/public/6QQe/hAvBatDSz,Оборудование: Тр. Бабочка,4
121,"Отведение рук с гантелями на заднюю дельту лежа на лавке ",https://cloud.mail.ru/public/gs5Z/mkVBhTYjX,Оборудование: Гантели,4
122,"Отведение одной руки с гантелью на заднюю дельту лежа на лавке ",https://cloud.mail.ru/public/Gpht/S3dHKKAxL,Оборудование: Гантели,4
123,[object Object],https://cloud.mail.ru/public/EWp9/Sg35Z8yaz,Оборудование: Гантели,4
124,Тяга на заднюю дельту в Смита в наклоне,https://drive.google.com/file/d/14SMqH0965ucMskbmWzE0jyWfNV3iboX0/view?usp=sharing,Оборудование: Тр. Смита | Статус: 📹,4
125,Отведение одной руки в кроссовере в наклоне с нижнего блока,https://cloud.mail.ru/public/mx4x/GDfGJAa2n,Оборудование: Кроссовер,4
126,Перекрестные отведения рук в кроссовере в наклоне с нижнего блока,https://cloud.mail.ru/public/oJDT/SmQRxTZVF,Оборудование: Кроссовер,4
127,[object Object],https://cloud.mail.ru/public/YeWV/VYvyqEyMy,Оборудование: Кроссовер,4
128,"Перекрестные отведения рук в кроссовере с верхнего блока        ",https://cloud.mail.ru/public/AuA2/MPtrna9DZ,Оборудование: Кроссовер,4
129,Отведение одной руки в кроссовере  с верхнего блока,https://cloud.mail.ru/public/53cs/tF7v3Cvj6,Оборудование: Кроссовер,4
130,Отведения рук с гантелями в наклоне,https://cloud.mail.ru/public/rf23/wBEgqDYZC,Оборудование: Гантели,4
131,Тяга штанги лежа на лавке с упором в грудь,https://cloud.mail.ru/public/W1cc/3iyjWPifr,Оборудование: Штанга,4
132,Горизонтальная тяга в тренажере Хаммер широким хватом,https://cloud.mail.ru/public/xEZ7/La4jBJqsE,Оборудование: Горизонтальная тяга Хаммер,4
133,Тяга вертикального блока с упором одной ноги в седенье (средний парал. хват),https://cloud.mail.ru/public/DHgX/AUr7MtgZD,Оборудование: Вертикальный блок,4
